,Name,Geometry,Address,Description,Lattitude,Longitude,Category
220,Thomson C Art,POINT (-73.96430989681751 40.774006734867456),19 E 75th St,,-73.96430989681751,40.774006734867456,Art_Gallery
221,Three East Third St Corp,POINT (-73.99127036086344 40.726317169194125),3 E 3rd St,,-73.99127036086344,40.726317169194125,Art_Gallery
222,Throckmorton Fine Arts,POINT (-73.96844689694198 40.76094893064263),145 E. 57th St.,,-73.96844689694198,40.76094893064263,Art_Gallery
223,Tilton Jack Gallery,POINT (-74.00200057983146 40.72225087144002),47 Greene St,,-74.00200057983146,40.72225087144002,Art_Gallery
224,Time Is Always Now,POINT (-74.00165245526333 40.72303600769511),476 Broome St.,,-74.00165245526333,40.72303600769511,Art_Gallery
225,Tk Oriental Antiques,POINT (-73.97182904482004 40.762345560476284),41 E 57th St,,-73.97182904482004,40.762345560476284,Art_Gallery
226,Tobey Fine Art,POINT (-73.99703668451343 40.72443534760606),580 Broadway,,-73.99703668451343,40.72443534760606,Art_Gallery
227,Ton Ying & Co,POINT (-73.96571787671886 40.758081125504276),1050 2nd Ave,,-73.96571787671886,40.758081125504276,Art_Gallery
228,Tonal Motion Inc,POINT (-73.98546138708296 40.752454571078225),1026 Avenue of the Americas,,-73.98546138708296,40.752454571078225,Art_Gallery
229,Tonkonow Leslie,POINT (-74.00615109302096 40.74795821657633),535 W 22nd St,,-74.00615109302096,40.74795821657633,Art_Gallery
230,Tower Art Gallery,POINT (-74.0095084934269 40.70983827872425),7 Maiden Ln,,-74.0095084934269,40.70983827872425,Art_Gallery
231,Traditional Art Gallery Inc,POINT (-73.96585513475492 40.758034786660545),1050 2nd Ave,,-73.96585513475492,40.758034786660545,Art_Gallery
232,Triangle Editions,POINT (-73.9677731620756 40.764710751441086),111 E 62nd St,,-73.9677731620756,40.764710751441086,Art_Gallery
233,Tribes Gallery,POINT (-73.97988408148974 40.72155550779509),285 E. Third St.,,-73.97988408148974,40.72155550779509,Art_Gallery
234,Triple Candie,POINT (-73.9550632174421 40.81374657890127),461 W 126th St,,-73.9550632174421,40.81374657890127,Art_Gallery
235,Triton Collection the,POINT (-74.00704894372035 40.75257911943997),224 12th Ave,,-74.00704894372035,40.75257911943997,Art_Gallery
236,Troubetzkoy Paintings,POINT (-73.97777959495151 40.72422992194957),366 E 8th St,,-73.97777959495151,40.72422992194957,Art_Gallery
237,Tunick David,POINT (-73.96849022604967 40.76833078347223),19 East 66th Street,,-73.96849022604967,40.76833078347223,Art_Gallery
238,Turkana Gallery,POINT (-74.01245254988984 40.709767780555694),125 Cedar St,,-74.01245254988984,40.709767780555694,Art_Gallery
239,Ubu Gallery,POINT (-73.96124389562185 40.75904777703154),416 EAST 59 STREET,,-73.96124389562185,40.75904777703154,Art_Gallery
240,Under Minerva,POINT (-73.99264059463559 40.66242444886783),656 5th Ave,,-73.99264059463559,40.66242444886783,Art_Gallery
241,Up & Co,POINT (-74.00525333608093 40.718035958515735),257 Church St,,-74.00525333608093,40.718035958515735,Art_Gallery
242,Uptown Gallery the,POINT (-73.95834181152964 40.78195082570154),1194 Madison Ave,,-73.95834181152964,40.78195082570154,Art_Gallery
243,Urban Architecture Gallery of Applied Arts Inc,POINT (-73.95568290353586 40.73872000117206),1205 Manhattan Ave,,-73.95568290353586,40.73872000117206,Art_Gallery
244,"Ursus Books & Prints, Ltd.",POINT (-73.96314947605681 40.77455057047168),981 Madison Ave.,,-73.96314947605681,40.77455057047168,Art_Gallery
245,Valenzi Gallery & Framing,POINT (-73.92609137053243 40.769757974132226),2904 23rd St,,-73.92609137053243,40.769757974132226,Art_Gallery
246,Van De Weghe Fine Art,POINT (-74.00485831599102 40.748295055076056),521 W 23rd St,,-74.00485831599102,40.748295055076056,Art_Gallery
247,Vance Jordan Fine Art,POINT (-73.96412402055026 40.7740762256816),958 Madison Ave,,-73.96412402055026,40.7740762256816,Art_Gallery
248,Veranda Design,POINT (-73.9771925909779 40.786271129139486),225 W 83rd St,,-73.9771925909779,40.786271129139486,Art_Gallery
249,Verona Arts Ltd,POINT (-73.97755224356966 40.75749369898942),603 5th Ave,,-73.97755224356966,40.75749369898942,Art_Gallery
250,Viart Corporation,POINT (-73.97064699525346 40.76043003631743),120 E 56th St,,-73.97064699525346,40.76043003631743,Art_Gallery
251,Vick Corporate Art Advisors,POINT (-74.00577306506825 40.749804550132424),210 11th Ave,,-74.00577306506825,40.749804550132424,Art_Gallery
252,Vieille Russie Inc Antiqs & Jwlry,POINT (-73.97253001784061 40.76431012217276),781 5th Ave,,-73.97253001784061,40.76431012217276,Art_Gallery
253,Vietnam Art Design,POINT (-74.01012569658072 40.718403862409026),345 Greenwich St,,-74.01012569658072,40.718403862409026,Art_Gallery
254,Viewpoint Gallery,POINT (-73.99068944798088 40.73711798578153),41 Union Sq W,,-73.99068944798088,40.73711798578153,Art_Gallery
255,Vincent Fremont Enterprises,POINT (-73.99187771197147 40.73550086652194),1 Union Sq W,,-73.99187771197147,40.73550086652194,Art_Gallery
256,Viridian Artists Inc,POINT (-74.0047276435506 40.7492913813902),530 W 25th St,,-74.0047276435506,40.7492913813902,Art_Gallery
257,Visage Studios,POINT (-73.98424841060464 40.75055102601993),12 West 37th Street,,-73.98424841060464,40.75055102601993,Art_Gallery
258,Visual Arts Gallery,POINT (-74.00014431394463 40.725920598893055),137 Wooster St,,-74.00014431394463,40.725920598893055,Art_Gallery
259,Volpe Organization,POINT (-73.98809616725292 40.77482589447644),100 W End Ave,,-73.98809616725292,40.77482589447644,Art_Gallery
260,Wada Takashi Gallery,POINT (-73.98849960685845 40.76290654530983),350 W 50th St,,-73.98849960685845,40.76290654530983,Art_Gallery
261,Wade Maxx Art Gallery,POINT (-73.98013755406222 40.775209204933255),191 Columbus Ave,,-73.98013755406222,40.775209204933255,Art_Gallery
262,Wally Findlay Galleries,POINT (-73.96978732354177 40.76088972879902),124 E 57th St,,-73.96978732354177,40.76088972879902,Art_Gallery
263,Ward-Nasse Gallery,POINT (-74.00206948926476 40.726124349360326),178 Prince St,,-74.00206948926476,40.726124349360326,Art_Gallery
264,Washburn Galleries,POINT (-73.97548939715747 40.76329173421364),20 W 57th St,,-73.97548939715747,40.76329173421364,Art_Gallery
265,Washington Sq Outdoor Art Exhibit Inc,POINT (-73.98955957434988 40.73055351406694),115 E 9th St,,-73.98955957434988,40.73055351406694,Art_Gallery
266,Webster David,POINT (-74.00604993518832 40.742554940223926),448 W 16th St,,-74.00604993518832,40.742554940223926,Art_Gallery
267,Weisbrod Chinese Art Ltd,POINT (-73.97195658131889 40.76183606457246),36 E 57th St,,-73.97195658131889,40.76183606457246,Art_Gallery
268,Wellesley the,POINT (-73.9604313705021 40.76937886836503),200 E 72nd St,,-73.9604313705021,40.76937886836503,Art_Gallery
269,Wessel & O'Connor,POINT (-73.99604272085784 40.74658362420755),242 W. 26th St.,,-73.99604272085784,40.74658362420755,Art_Gallery
270,Westbeth Gallery,POINT (-74.00892207369608 40.73681609073264),55 Bethune St,,-74.00892207369608,40.73681609073264,Art_Gallery
271,Western Art Collectors Society,POINT (-74.09740510896602 40.59524979737109),1374 Richmond Rd,,-74.09740510896602,40.59524979737109,Art_Gallery
272,Westwood Gallery,POINT (-73.99734433829671 40.724422962305674),568 Broadway,,-73.99734433829671,40.724422962305674,Art_Gallery
273,Weybridge Fine Art,POINT (-73.9609780584284 40.77737493217594),30 E 81st St,,-73.9609780584284,40.77737493217594,Art_Gallery
