,Names,Geometry,Address,Lattitude,Longitude,Category,Details
1278,Monument to Mowgli Protected from the Tiger by the Wolves at Prospect Park,POINT(994084.490161553 181858.38042755425),"Prospect Park Zoo; Flatbush Avenue entrance, north side of northern kiosk",994084.490161553,181858.380427554,Park,Dedicated 1935
1279,Monument to Ukrainian American Flagstaff at Triangle at East 10th Street and Stuyvesant Place,POINT(987882.5724473 205211.47906248271),Stuyvesant and 10th Sts. at 2nd Avenue,987882.5724473,205211.479062483,Park,Dedicated 7/4/44
1280,Monument to Skagerrak at Bellevue South Park,POINT(990425.6897363812 208981.5607611388),"East 26th Street to East 28th Street, and 2nd Avenue",990425.689736381,208981.560761139,Park,Dedicated 1971
1281,Monument to Blockhouse Plaque at Morningside Park,POINT(995584.8966095597 232921.2527110577),MORNINGSIDE PARK; Morningside Ave. at 123rd St.,995584.89660956,232921.252711058,Park,Dedicated 1904
1282,Monument to World's Fair Flagstaffs at Flushing Meadows / Corona Park,POINT(1028931.7692201436 211811.6892872304),,1028931.76922014,211811.68928723,Park,Dedicated nan
1283,Monument to World's Fair Flagstaffs at Flushing Meadows / Corona Park,POINT(1028771.929972887 212170.9694085568),,1028771.92997289,212170.969408557,Park,Dedicated nan
1284,Monument to Doric Columns at Athens Square Park,POINT(1005779.9605369716 219010.7615032196),facing sunken plaza,1005779.96053697,219010.76150322,Park,Dedicated 1996
1285,Monument to Snow Babies at Central Park,POINT(992611.9320830554 220631.22807855904),"Entrance to Mary Harriman Rumsey Playground, East Drive at 72nd Street.",992611.932083055,220631.228078559,Park,Dedicated 1938
1286,Monument to Rocky Mountain Sheep at Central Park,POINT(992178.0464678854 218767.57793447372),"Central Park Zoo; Gallery, center of east façade",992178.046467885,218767.577934474,Park,Dedicated 1935
1287,Monument to Eagles at Central Park,POINT(992032.3679534644 219055.3946160674),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992032.367953464,219055.394616067,Park,Dedicated 1941
1288,Monument to Eagles at Central Park,POINT(992017.7606992276 219032.4031922221),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992017.760699228,219032.403192222,Park,Dedicated 1941
1289,Monument to Eagles at Central Park,POINT(992108.6847299637 218985.27631798387),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992108.684729964,218985.276317984,Park,Dedicated 1941
1290,Monument to Eagles at Central Park,POINT(992104.2572453916 219146.8783569783),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992104.257245392,219146.878356978,Park,Dedicated 1941
1291,Monument to Eagles at Central Park,POINT(992120.776241228 219008.0682671368),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992120.776241228,219008.068267137,Park,Dedicated 1941
1292,Monument to Eagles at Central Park,POINT(992054.1123325528 218962.2543823868),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992054.112332553,218962.254382387,Park,Dedicated 1941
1293,Monument to Eagles at Central Park,POINT(992123.6151463093 219092.91127331555),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992123.615146309,219092.911273316,Park,Dedicated 1941
1294,Monument to Eagles at Central Park,POINT(992037.926997468 218969.0017442256),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992037.926997468,218969.001744226,Park,Dedicated 1941
1295,Monument to Eagles at Central Park,POINT(992102.92686747 219103.3266068101),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992102.92686747,219103.32660681,Park,Dedicated 1941
1296,Monument to Unisphere and Fountain at Flushing Meadows / Corona Park,POINT(1027165.4085796326 211252.100511387),,1027165.40857963,211252.100511387,Park,"Dedicated March 6,1964"
1297,Monument to Giuseppe Verdi at Verdi Square,POINT(989376.72004956 223166.25712922213),Broadway at 73rd Street,989376.72004956,223166.257129222,Park,"Dedicated October 11, 1906"
1298,Monument to Wild Geese at Crotona Park,POINT(1012546.5011377186 245343.0041142255),Crotona Pool Bath House,1012546.50113772,245343.004114226,Park,Dedicated ca. 1936
1299,Monument to Randolph St. G. Walker Jr. at Randolph Walker Park,POINT(954058.6988222152 173875.63523823023),Bard Avenue and Delafied Place,954058.698822215,173875.63523823,Park,Dedicated 1923
