,Names,Geometry,Address,Lattitude,Longitude,Category
729,Faith Art Gallery Corp,POINT (-73.98502183713724 40.69145797289582),393 Bridge St,40.69145797289582,-73.98502183713724,Art_Gallery
730,Feature Inc,POINT (-74.00465742633867 40.74938527551454),530 W 25th St,40.74938527551454,-74.00465742633867,Art_Gallery
731,Fields Walter,POINT (-73.97999416175843 40.72434452521103),208 E 7th St Ofc,40.72434452521103,-73.97999416175843,Art_Gallery
732,Fifty-Five Mercer Gallery,POINT (-74.00122058669174 40.72199019386643),55 Mercer St,40.72199019386643,-74.00122058669174,Art_Gallery
733,Findlay David Galleries,POINT (-73.95786468302175 40.77671112812341),1202 Lexington Ave,40.77671112812341,-73.95786468302175,Art_Gallery
734,Findlay David Jr Fine Art,POINT (-73.97174887002554 40.76231666076687),41 E 57th St,40.76231666076687,-73.97174887002554,Art_Gallery
735,Findlay Peter Gallery,POINT (-73.97180039192365 40.762237733372395),41 E 57th St,40.762237733372395,-73.97180039192365,Art_Gallery
736,Fine Art Acquisitions,POINT (-74.00029974157532 40.7235933155635),122 Spring St,40.7235933155635,-74.00029974157532,Art_Gallery
737,Fine Art Alacarte,POINT (-74.00380156301806 40.70636686174815),89 South Street,40.70636686174815,-74.00380156301806,Art_Gallery
738,Fine Art Services & Transport,POINT (-73.92883940898508 40.738232388711204),48-75 37th St,40.738232388711204,-73.92883940898508,Art_Gallery
739,First Street Gallery,POINT (-74.00443446589546 40.74996792701139),526 W 26th St,40.74996792701139,-74.00443446589546,Art_Gallery
740,Fischbach Gallery,POINT (-74.00602112606222 40.74989670512089),210 Eleventh Ave.,40.74989670512089,-74.00602112606222,Art_Gallery
741,Flushing Art Gallery,POINT (-73.83041137904691 40.76141732272762),3711 Main St,40.76141732272762,-73.83041137904691,Art_Gallery
742,Focal Point Gallery,POINT (-73.78685976077512 40.84756077816203),321 City Island Ave,40.84756077816203,-73.78685976077512,Art_Gallery
743,Folin Riva Inc,POINT (-74.00707399355053 40.74660508530802),535 W 20th St,40.74660508530802,-74.00707399355053,Art_Gallery
744,Folklorica,POINT (-73.97503918883272 40.7598343459659),12 E 53rd St,40.7598343459659,-73.97503918883272,Art_Gallery
745,Forbes Magazine Galleries,POINT (-73.99479482822287 40.735021911118785),60 Fifth Avenue,40.735021911118785,-73.99479482822287,Art_Gallery
746,Forrest Scott Group,POINT (-73.99647308638792 40.72397525886468),270 Lafayette St,40.72397525886468,-73.99647308638792,Art_Gallery
747,Fortress Fae Worldwide,POINT (-73.95653685419958 40.74335663129033),4920 5th St,40.74335663129033,-73.95653685419958,Art_Gallery
748,Fortress Ny,POINT (-73.95672412634464 40.7433898305589),4920 5th St,40.7433898305589,-73.95672412634464,Art_Gallery
749,Fortuna Fine Arts Ltd,POINT (-73.96344115477852 40.77485986451713),984 Madison Ave,40.77485986451713,-73.96344115477852,Art_Gallery
750,Forum Gallery,POINT (-73.97342331202799 40.763293452643666),745 5th Ave,40.763293452643666,-73.97342331202799,Art_Gallery
751,Fowa Enterprises Corp,POINT (-73.9970125926335 40.71331565137543),17 E Broadway,40.71331565137543,-73.9970125926335,Art_Gallery
752,Franklin Bowles Galleries,POINT (-74.00094986667257 40.72526683360754),431 W Broadway,40.72526683360754,-74.00094986667257,Art_Gallery
753,Franklin Parrasch Gallery,POINT (-73.9754342245949 40.76337208346219),20 W 57th St,40.76337208346219,-73.9754342245949,Art_Gallery
